Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
"Gambia, The",GMB,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,490095321.7,494465870.5,583707793.6,643387382.1,681059472.1,667068110.3,717772695,700067929.4,401850387.8,528190671.7,548018337.4,506226594,541820520.3,551453731,524210916.7,534740811.3,527088062,668300245,696271776.8,717924301.5
Ghana,GHA,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,6743341663.2,6860995876.9,7640294825.3,8301000837.7,7239727088.5,7334787205.4,3699920203.2,4298139557.2,4718475855.8,6610060990.4,8366515757.3,10412993045.6,11993964243,16114986300.8,17846049246.8,20115972026.3,21152044136.9,22326328380.7,23331861950.6,26958719428.5
Grenada,GRD,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,199420878.4,235652510.6,372086143.1,369076336.6,429599096.4,362225849.5,452574948.4,487671808.2,538874448.7,556610998.4,560589966.8,532309611.8,589257177.2,586831029.3,637672103.3,601161099.1,602402451,543346541.6,549854201.5,550420866.4
Guinea,GIN,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,3024329172,2862555839.9,3115594256.9,3132188897.9,3373210129.3,3345908743.7,3445041492.9,3617146935.1,3473570957.8,3497118322.1,3466046338.4,3424266324.5,1477176174,1765320891.6,1896708971,2048365280.7,2095698636.7,2228638132.8,2396656377.3,2866810481.2
Guinea-Bissau,GNB,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,948834343.1,903107735.5,977940699.6,1065441068.2,1114785117.2,1022672668.4,1047373767.9,1092302823.2,1104282943.1,1164030337.6,1125593470.1,300737640.8,297182454.1,298596677,308643082.9,355662907.7,336310407.6,436892184.1,543083864.3,634844920.9
Guyana,GUY,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1374473166.9,1327603202.2,1390166088.4,1454158541.9,1368422040.1,1238833544.5,1163165911.8,848663074.1,990493994.7,1427924569.8,1408397852,2006674225,1974229280.9,2302020563.8,2341948615.5,1636917068,1643860201.4,1582869380.4,1607991133.9,1597335212.8
Haiti,HTI,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1203393476.2,1285544239,1280698138.8,1364909986.9,1284484871.5,1333931157.9,1416972000.4,1601590631.4,1964488511.2,1448420667.7,959066834.3,775845587.7,1163440488.7,1569393195.2,1951930399.9,2096138364.2,2167818423,2169815133.3,2219747746.5,2213887988.5
Honduras,HND,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,5616776612.6,5159558392.8,5491495663.9,5656942754.9,6205542461.2,5170226183.5,3987694941.5,3010680924.1,3517193356.3,3835948442.9,4008010903.5,4419294950.2,5086125313.5,6867621206.6,7369414615.7,7626993493.8,7614296900.4,8741578894.1,9166829328.2,9767488319.6
Kenya,KEN,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,6147150097.6,5495276586,6095869527.9,6715084650.7,6916593410.5,6489733475.8,6691670449.8,7549036617.4,7669044524.4,8558933886.8,8856240083.6,10155961500.5,11873346634.9,13798577600.5,16911889739.7,19776929996.7,21061327084.5,26197804743.9,30688081446.2,34217072395.4
Kosovo,XKX,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,72140059,69583145.7,75274464.8,82275800.7,85987699.1,79136411.6,83296240.5,534737934.6,709873305.5,1725715832.4,1455549979.9,1699829128.6,2002395891.2,2220795158.7,2242255049.7,2158469237.4,2124776279.7,2504230894.7,2325736286.3,2428181897.8
Kyrgyz Republic,KGZ,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,1937816109.8,1823857616.9,1957506328.4,2148372909.4,2560865743.3,2256599326.4,2596155992.5,2878747157.8,3628104689.4,4118812292.1,4118497688,5493240304.9,6035847044.9,6815112968.3,7286978077.7,7720310805.7,7975486712.2,8131220078.1,8171080020.4,8338554140.9
Lao PDR,LAO,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2531032369.6,2585719431.9,3168466117.1,2506301750.6,2949489392.8,3278601893.1,3805627505.8,4987662711.3,5653261689.8,6383404582.6,6553667990.7,7081958070.9,7422652822.1,8190446369,9640187102.4,11641638995.9,13535197951.4,14696398018.4,15377362122.2,16701083150.5
Lesotho,LSO,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,769689608.6,684403514,712577931.3,705761420.2,773436561.2,666293758.5,657437143.1,685484471.5,700047301.8,766529460.1,788060174.8,813623741.4,877145936.2,902056102.8,890476478.4,921428686.1,921472674.5,935953109.2,903648840.9,935870653
Liberia,LBR,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2836274327.3,3035970627.4,3293838967,3632799616.2,3862478049.5,3950580336.9,4191788049.1,3777967270.2,3160827104.1,1850279323.4,418851731,448440322.7,487153109,530778316.3,681478405,839147458.6,952648609.9,1122234392,1228490935,1357440617.4
Madagascar,MDG,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4726029557,4184263804.7,4543888332.4,4979583730.9,3824731184.5,3525441335.7,1526991065.5,2332269180.4,2533049972.1,2846880423.7,2755972130.7,2867388363.7,2993481414.4,2939311490.7,2962333032.1,3006714077.1,2975696861.1,3382076962.2,3730156549.6,4065354125.4
Malawi,MWI,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,2716150630.5,2591698365.2,2900916474.8,3111209644.5,3443607862.6,3195998422.2,870594215.5,868946321,994770539.4,1144449860.3,1020774253.2,1213551485.4,1331154479.4,1566325146.5,1666540756.6,1721202630.8,1847005075.2,2162398106.2,2265756324.5,2433898565.7
Maldives,MDV,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,203023211.5,233027776.1,269846875.2,292920063.3,339687013.4,362336487.4,553705510.9,771851912.5,1147412938.2,1383451322.8,916604218.6,881963777.1,942036987.1,1030147385.5,1104553870.6,1006244803.1,1221999437.3,1515722991.1,2339711918.2,2679184642.9
