Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Sao Tome and Principe,STP,United Kingdom,012,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,United Kingdom,012,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,"Germany, Fed.Rep. Of",005,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4177944.9,3957037,4708663,5670870,6115829,5296853,5913330,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,"Germany, Fed.Rep. Of",005,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,-9684000,..,..,..,..,..,..,-6154154,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Saudi Arabia,566,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Saudi Arabia,566,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,India,646,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,India,646,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Sao Tome and Principe,STP,Italy,006,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,16243813.3,15848685.4,19136140.7,21491632.3,23491516.5,20225975.8,21784807,23619724.6,24992009,25797185.8,28292890.5,28253799.5,34439412.9,35409041,31915883.2,31819373,31070866.1,32367476.7,32058494.9,30245817
Sao Tome and Principe,STP,Italy,006,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,China,730,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,99895701.5,98608222,97157564.3,95708456,94097803.3,92448470.5,88039612.8,96497286.1,132686532.5,175550220.4,184091090.7,210338346.1,301736745.8,334788771.6,360032582.6,503820523.4,902176919.2,1142930844.6,1314955733.6,1225445721.8
Senegal,SEN,China,730,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Senegal,SEN,Japan,701,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,111549170.7,88566009.1,88882402.1,90046685.3,115875912.4,94524031.5,85316876.9,..,3636741.6,5641988.9,6378306.9,6684419.2,10791454.7,8869899.1,7742042.4,7751037.3,7731164.4,45163861.8,45727691,21233504.4
Senegal,SEN,Japan,701,Debt forgiveness or reduction (current US$),DT.DFR.DPPG.CD,..,..,..,..,-60669066.7,..,..,-86258728.3,..,..,..,..,..,..,..,..,..,..,..,..
